Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BHP,"BHP Group Limited (ASX:BHP)",https://www.listcorp.com/asx/bhp/bhp-group-limited,"	230893000000",46.73,1.12,2.46,Materials
ASX:CBA,"Commonwealth Bank (ASX:CBA)",https://www.listcorp.com/asx/cba/commonwealth-bank,"	179922000000",104.88,-0.56,-0.53,Financials
ASX:CSL,"CSL Limited (ASX:CSL)",https://www.listcorp.com/asx/csl/csl-limited,"	129396000000",269.89,1.26,0.47,"Health Care"
ASX:NAB,"National Australia Bank (ASX:NAB)",https://www.listcorp.com/asx/nab/nab,"	100469000000",31.175,-0.13,-0.4,Financials
ASX:WBC,"Westpac Banking Corp (ASX:WBC)",https://www.listcorp.com/asx/wbc/westpac,"	83782000000",23.91,-0.02,-0.08,Financials
ASX:MQG,"Macquarie Group Limited (ASX:MQG)",https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	70335700000",183.58,0.29,0.16,Financials
ASX:ANZ,"ANZ Banking Group Limited (ASX:ANZ)",https://www.listcorp.com/asx/anz/anz-banking-group-limited,"	69768800000",25,0.03,0.12,Financials
ASX:FMG,"Fortescue Metals Group (ASX:FMG)",https://www.listcorp.com/asx/fmg/fortescue-metals,"	63457500000",21.43,0.82,3.98,Materials
ASX:WDS,"Woodside Energy Group Ltd (ASX:WDS)",https://www.listcorp.com/asx/wds/woodside-energy-group,"	60285300000",31.74,-0.01,-0.03,Energy
ASX:WES,"Wesfarmers Limited (ASX:WES)",https://www.listcorp.com/asx/wes/wesfarmers,"	53608000000",47.27,-0.01,-0.02,"Consumer Discretionary"
ASX:TLS,"Telstra Limited (ASX:TLS)",https://www.listcorp.com/asx/tls/telstra-limited,"	45755500000",3.91,-0.05,-1.26,"Communication Services"
ASX:TCL,"Transurban Group (ASX:TCL)",https://www.listcorp.com/asx/tcl/transurban,"	44709600000",14.68,0.12,0.82,Industrials
ASX:WOW,"Woolworths Group Limited (ASX:WOW)",https://www.listcorp.com/asx/wow/woolworths-group,"	42037400000",34.52,-0.11,-0.32,"Consumer Staples"
ASX:RIO,"Rio Tinto (ASX:RIO)",https://www.listcorp.com/asx/rio/rio-tinto,"	41951100000",115.8,2.79,2.47,Materials
ASX:GMG,"Goodman Group (ASX:GMG)",https://www.listcorp.com/asx/gmg/goodman-group,"	37364500000",20.125,0.13,0.63,"Real Estate"
ASX:STO,"Santos Limited (ASX:STO)",https://www.listcorp.com/asx/sto/santos-limited,"	28213100000",8.39,0.06,0.72,Energy
ASX:COL,"Coles Group Limited (ASX:COL)",https://www.listcorp.com/asx/col/coles-group-limited,"	23677000000",17.72,0.00,0,"Consumer Staples"
ASX:S32,"South32 Limited (ASX:S32)",https://www.listcorp.com/asx/s32/south32-limited,"	23087500000",5.075,0.10,1.91,Materials
ASX:ALL,"Aristocrat Leisure (ASX:ALL)",https://www.listcorp.com/asx/all/aristocrat-leisure,"	22640000000",34.155,0.34,1.02,"Consumer Discretionary"
ASX:NCM,"Newcrest Mining Limited (ASX:NCM)",https://www.listcorp.com/asx/ncm/newcrest-mining-limited,"	21702900000",24.62,0.32,1.32,Materials
ASX:QBE,"QBE Insurance Group Limited (ASX:QBE)",https://www.listcorp.com/asx/qbe/qbe-insurance-group-limited,"	17888100000",11.96,-0.10,-0.83,Financials
ASX:RHC,"Ramsay Health Care Limited (ASX:RHC)",https://www.listcorp.com/asx/rhc/ramsay-health-care-limited,"	17646800000",76.63,-0.47,-0.61,"Health Care"
ASX:SHL,"Sonic Healthcare Limited (ASX:SHL)",https://www.listcorp.com/asx/shl/sonic-healthcare,"	17158500000",35.28,-0.46,-1.29,"Health Care"
ASX:ASX,"ASX Limited (ASX:ASX)",https://www.listcorp.com/asx/asx/asx-limited,"	15613500000",80.83,0.18,0.22,Financials
ASX:BXB,"Brambles Limited (ASX:BXB)",https://www.listcorp.com/asx/bxb/brambles-limited,"	15533800000",10.875,0.06,0.51,Industrials
ASX:JHX,"James Hardie Industries plc (ASX:JHX)",https://www.listcorp.com/asx/jhx/james-hardie-industries-plc,"	15079500000",34.39,0.53,1.57,Materials
ASX:SCG,"Scentre Group Limited (ASX:SCG)",https://www.listcorp.com/asx/scg/scentre-group-limited,"	14533100000",2.805,0.01,0.18,"Real Estate"
ASX:REA,"REA Group Ltd (ASX:REA)",https://www.listcorp.com/asx/rea/rea-group,"	14486700000",112.63,2.98,2.72,"Communication Services"
ASX:AMC,"Amcor Limited (ASX:AMC)",https://www.listcorp.com/asx/amc/amcor-limited,"	14378100000",18.405,0.01,0.03,Materials
ASX:COH,"Cochlear Limited (ASX:COH)",https://www.listcorp.com/asx/coh/cochlear-limited,"	14331800000",218.27,0.37,0.17,"Health Care"
ASX:SUN,"Suncorp Group Limited (ASX:SUN)",https://www.listcorp.com/asx/sun/suncorp-group-limited,"	14216900000",11.055,-0.20,-1.82,Financials
ASX:CPU,"Computershare Limited (ASX:CPU)",https://www.listcorp.com/asx/cpu/computershare-limited,"	14024600000",23.25,0.02,0.09,"Information Technology"
ASX:APA,"APA Group (ASX:APA)",https://www.listcorp.com/asx/apa/apa-group,"	13509800000",11.25,-0.20,-1.75,Utilities
ASX:WTC,"WiseTech Global Limited (ASX:WTC)",https://www.listcorp.com/asx/wtc/wisetech-global-limited,"	13337800000",43.12,2.25,5.51,"Information Technology"
ASX:EDV,"Endeavour Group Limited (ASX:EDV)",https://www.listcorp.com/asx/edv/endeavour-group-limited,"	12895100000",7.21,0.01,0.14,"Consumer Staples"
ASX:XRO,"Xero Limited (ASX:XRO)",https://www.listcorp.com/asx/xro/xero-limited,"	12680600000",87.06,2.28,2.69,"Information Technology"
ASX:RMD,"ResMed Inc (ASX:RMD)",https://www.listcorp.com/asx/rmd/resmed-inc,"	11466300000",29.35,1.02,3.6,"Health Care"
ASX:DXS,"Dexus (ASX:DXS)",https://www.listcorp.com/asx/dxs/dexus,"	11261200000",10.44,-0.03,-0.29,"Real Estate"
ASX:TPG,"TPG Telecom Limited (ASX:TPG)",https://www.listcorp.com/asx/tpg/tpg-telecom-limited,"	11063100000",5.99,0.04,0.67,"Communication Services"
ASX:MIN,"Mineral Resources Limited (ASX:MIN)",https://www.listcorp.com/asx/min/mineral-resources-limited,"	10894200000",60.095,2.52,4.37,Materials
ASX:FPH,"Fisher & Paykel Healthcare (ASX:FPH)",https://www.listcorp.com/asx/fph/fisher-and-paykel-healthcare,"	10728600000",18.72,0.14,0.75,"Health Care"
ASX:ORG,"Origin Energy Limited (ASX:ORG)",https://www.listcorp.com/asx/org/origin-energy-limited,"	10690600000",6.125,0.06,0.91,Utilities
ASX:VAS,"Vanguard Australian Shares Index ETF (ASX:VAS)",https://www.listcorp.com/asx/vas/vanguard-australian-shares-index-etf,"	10667300000",91.9,0.69,0.76,Financials
ASX:IAG,"Insurance Australia Group (ASX:IAG)",https://www.listcorp.com/asx/iag/iag,"	10575300000",4.27,-0.02,-0.47,Financials
ASX:MGOC,"Magellan Global Fund (Open Class)(Managed Fund) (ASX:MGOC)",https://www.listcorp.com/asx/mgoc/magellan-global-fund-open-class-managed-fund,"	10373200000",2.38,0.01,0.42,Financials
ASX:QAN,"Qantas Airways (ASX:QAN)",https://www.listcorp.com/asx/qan/qantas,"	10203500000",5.46,0.05,0.92,Industrials
ASX:AIA,"Auckland International Airport Limited (ASX:AIA)",https://www.listcorp.com/asx/aia/auckland-international-airport-limited,"	10131200000",6.91,0.03,0.44,Industrials
ASX:TLC,"The Lottery Corporation Limited (ASX:TLC)",https://www.listcorp.com/asx/tlc/the-lottery-corporation-limited,"	10127300000",4.435,-0.12,-2.53,"Consumer Discretionary"
ASX:NST,"Northern Star Resources Limited (ASX:NST)",https://www.listcorp.com/asx/nst/northern-star-resources,"	10101600000",8.81,0.14,1.61,Materials
ASX:AFI,"Australian Foundation Investment Company (ASX:AFI)",https://www.listcorp.com/asx/afi/australian-foundation-investment-company,"	10011400000",8.1,-0.04,-0.49,Financials
ASX:REH,"Reece Limited (ASX:REH)",https://www.listcorp.com/asx/reh/reece-limited,"	9909400000",15.39,0.05,0.33,Industrials
ASX:SGP,"Stockland (ASX:SGP)",https://www.listcorp.com/asx/sgp/stockland,"	9381580000",3.93,0.00,0,"Real Estate"
ASX:SOL,"Soul Pattinson WH (ASX:SOL)",https://www.listcorp.com/asx/sol/soul-pattinson,"	9125270000",25.33,0.05,0.2,Energy
ASX:GPT,"The GPT Group (ASX:GPT)",https://www.listcorp.com/asx/gpt/gpt-group,"	9118150000",4.745,-0.02,-0.32,"Real Estate"
ASX:IGO,"IGO Limited (ASX:IGO)",https://www.listcorp.com/asx/igo/igo-limited,"	8784310000",11.99,0.39,3.36,Materials
ASX:BSL,"BlueScope Steel Limited (ASX:BSL)",https://www.listcorp.com/asx/bsl/bluescope-steel-limited,"	8767830000",18.67,0.39,2.13,Materials
ASX:MPL,"Medibank Private Limited (ASX:MPL)",https://www.listcorp.com/asx/mpl/medibank-private-limited,"	8757730000",3.18,0.00,0,Financials
ASX:MGR,"Mirvac Group (ASX:MGR)",https://www.listcorp.com/asx/mgr/mirvac,"	8714180000",2.215,0.01,0.23,"Real Estate"
ASX:CWN,"Crown Resorts Limited (ASX:CWN)",https://www.listcorp.com/asx/cwn/crown-resorts-limited,"	8681170000",12.86,0.04,0.31,"Consumer Discretionary"
ASX:VCX,"Vicinity Centres (ASX:VCX)",https://www.listcorp.com/asx/vcx/vicinity-centres,"	8581040000",1.875,-0.01,-0.53,"Real Estate"
ASX:TWE,"Treasury Wine Estates (ASX:TWE)",https://www.listcorp.com/asx/twe/treasury-wine,"	8474500000",11.75,0.01,0.09,"Consumer Staples"
ASX:SEK,"SEEK Limited (ASX:SEK)",https://www.listcorp.com/asx/sek/seek-limited,"	8380830000",23.94,0.26,1.1,"Communication Services"
ASX:LYC,"Lynas Rare Earths Limited (ASX:LYC)",https://www.listcorp.com/asx/lyc/lynas-rare-earths-limited,"	8311210000",9.55,0.34,3.69,Materials
ASX:SPK,"Spark New Zealand Limited (ASX:SPK)",https://www.listcorp.com/asx/spk/spark-new-zealand-limited,"	8160120000",4.35,-0.01,-0.23,"Communication Services"
ASX:ALD,"Ampol Limited (ASX:ALD)",https://www.listcorp.com/asx/ald/ampol-limited,"	8083210000",34.96,1.04,3.07,Energy
ASX:OZL,"OZ Minerals Limited (ASX:OZL)",https://www.listcorp.com/asx/ozl/oz-minerals,"	7916720000",24.85,1.20,5.07,Materials
ASX:WOR,"Worley Limited (ASX:WOR)",https://www.listcorp.com/asx/wor/worley-limited,"	7745340000",15.125,0.34,2.27,Energy
ASX:AZJ,"Aurizon Holdings Limited (ASX:AZJ)",https://www.listcorp.com/asx/azj/aurizon-holdings-limited,"	7565290000",4.11,0.00,0,Industrials
ASX:LLC,"Lendlease Group (ASX:LLC)",https://www.listcorp.com/asx/llc/lendlease-group,"	7329970000",10.6,-0.04,-0.38,"Real Estate"
ASX:AKE,"Allkem Limited (ASX:AKE)",https://www.listcorp.com/asx/ake/allkem-limited,"	7294810000",11.92,0.48,4.2,Materials
ASX:MCY,"Mercury NZ Limited (ASX:MCY)",https://www.listcorp.com/asx/mcy/mercury-nz-limited,"	7185590000",5.14,-0.06,-1.15,Utilities
ASX:YAL,"Yancoal Australia Ltd (ASX:YAL)",https://www.listcorp.com/asx/yal/yancoal-australia-ltd,"	7183190000",5.53,0.09,1.65,Energy
ASX:ARG,"Argo Investments (ASX:ARG)",https://www.listcorp.com/asx/arg/argo,"	7126260000",9.45,-0.05,-0.53,Financials
ASX:IPL,"Incitec Pivot Limited (ASX:IPL)",https://www.listcorp.com/asx/ipl/incitec-pivot-limited,"	6992010000",3.655,0.06,1.53,Materials
ASX:SVW,"Seven Group Holdings (ASX:SVW)",https://www.listcorp.com/asx/svw/seven-group,"	6949180000",19.26,0.13,0.68,Industrials
ASX:EBO,"EBOS Group Limited (ASX:EBO)",https://www.listcorp.com/asx/ebo/ebos-group-limited,"	6912350000",36.23,-0.27,-0.74,"Health Care"
ASX:ALX,"Atlas Arteria (ASX:ALX)",https://www.listcorp.com/asx/alx/atlas-arteria,"	6837800000",7.2,0.07,0.98,Industrials
ASX:PLS,"Pilbara Minerals Limited (ASX:PLS)",https://www.listcorp.com/asx/pls/pilbara-minerals,"	6787180000",2.425,0.15,6.36,Materials
ASX:IEL,"IDP Education Limited (ASX:IEL)",https://www.listcorp.com/asx/iel/idp-education-limited,"	6771920000",24.79,0.46,1.89,"Consumer Discretionary"
ASX:EVN,"Evolution Mining Limited (ASX:EVN)",https://www.listcorp.com/asx/evn/evolution-mining-limited,"	6727140000",3.76,0.09,2.45,Materials
ASX:ORI,"Orica Limited (ASX:ORI)",https://www.listcorp.com/asx/ori/orica-limited,"	6713010000",16.515,0.10,0.58,Materials
ASX:CHC,"Charter Hall Group (ASX:CHC)",https://www.listcorp.com/asx/chc/charter-hall-group,"	6172610000",13.14,0.09,0.69,"Real Estate"
ASX:ALQ,"ALS Limited (ASX:ALQ)",https://www.listcorp.com/asx/alq/als-limited,"	6143130000",12.695,-0.01,-0.04,Industrials
ASX:CWY,"Cleanaway Waste Management Limited (ASX:CWY)",https://www.listcorp.com/asx/cwy/cleanaway-waste-management-limited,"	6022760000",2.96,0.04,1.37,Industrials
ASX:DMP,"Domino's Pizza Enterprises Limited (ASX:DMP)",https://www.listcorp.com/asx/dmp/dominos-pizza-enterprises-limited,"	5977410000",67.6,-1.46,-2.11,"Consumer Discretionary"
ASX:BEN,"Bendigo and Adelaide Bank Limited (ASX:BEN)",https://www.listcorp.com/asx/ben/bendigo-and-adelaide-bank-limited,"	5938310000",10.59,0.08,0.76,Financials
ASX:AGL,"AGL Energy Limited (ASX:AGL)",https://www.listcorp.com/asx/agl/agl-energy-limited,"	5873080000",8.74,0.01,0.11,Utilities
ASX:CAR,"Carsales.com (ASX:CAR)",https://www.listcorp.com/asx/car/carsales.com,"	5475890000",19.74,0.38,1.96,"Communication Services"
ASX:HVN,"Harvey Norman (ASX:HVN)",https://www.listcorp.com/asx/hvn/harvey-norman,"	5457510000",4.39,0.01,0.23,"Consumer Discretionary"
ASX:QUB,"Qube Holdings Limited (ASX:QUB)",https://www.listcorp.com/asx/qub/qube-holdings-limited,"	5367920000",3.02,-0.02,-0.66,Industrials
ASX:WHC,"Whitehaven Coal Limited (ASX:WHC)",https://www.listcorp.com/asx/whc/whitehaven-coal,"	5323180000",5.4,0.16,3.05,Energy
ASX:MEZ,"Meridian Energy Limited (ASX:MEZ)",https://www.listcorp.com/asx/mez/meridian-energy-limited,"	5249430000",4.26,0.10,2.4,Utilities
ASX:IFT,"Infratil Limited (ASX:IFT)",https://www.listcorp.com/asx/ift/infratil-limited,"	5192250000",7.16,0.00,0,Utilities
ASX:JBH,"JB Hi-Fi Limited (ASX:JBH)",https://www.listcorp.com/asx/jbh/jb-hi-fi-limited,"	5039200000",46.03,-0.06,-0.13,"Consumer Discretionary"
ASX:CGF,"Challenger Limited (ASX:CGF)",https://www.listcorp.com/asx/cgf/challenger-limited,"	5028150000",7.4,0.03,0.41,Financials
ASX:SQ2,"Block Inc. (ASX:SQ2)",https://www.listcorp.com/asx/sq2/block-inc,"	5010440000",119.9,5.32,4.64,"Information Technology"
ASX:NXT,"NEXTDC Limited (ASX:NXT)",https://www.listcorp.com/asx/nxt/nextdc-limited,"	4982100000",11.02,0.11,1.01,"Information Technology"
ASX:IVV,"iShares S&P 500 ETF (ASX:IVV)",https://www.listcorp.com/asx/ivv/ishares-s-and-p-500-etf,"	4926870000",577.1,2.59,0.45,Financials
ASX:AWC,"Alumina Limited (ASX:AWC)",https://www.listcorp.com/asx/awc/alumina-limited,"	4874820000",1.6875,0.01,0.45,Materials
ASX:BOQ,"Bank of Queensland Limited (ASX:BOQ)",https://www.listcorp.com/asx/boq/bank-of-queensland,"	4842230000",7.51,0.03,0.4,Financials
ASX:SDF,"Steadfast Group Limited (ASX:SDF)",https://www.listcorp.com/asx/sdf/steadfast-group,"	4819540000",4.92,-0.01,-0.2,Financials
ASX:GQG,"GQG Partners Inc. (ASX:GQG)",https://www.listcorp.com/asx/gqg/gqg-partners,"	4739250000",1.6225,0.02,1.09,Financials
ASX:STW,"SPDR S&P/ASX 200 Fund (ASX:STW)",https://www.listcorp.com/asx/stw/spdr-s-and-p-asx-200-fund,"	4631940000",67.43,0.56,0.84,Financials
ASX:ILU,"Iluka Resources Limited (ASX:ILU)",https://www.listcorp.com/asx/ilu/iluka-resources-limited,"	4526600000",10.92,0.25,2.34,Materials
ASX:VGS,"Vanguard MSCI Index International Shares ETF (ASX:VGS)",https://www.listcorp.com/asx/vgs/vanguard-msci-index-international-shares-etf,"	4509680000",93.06,0.50,0.54,Financials
ASX:VEA,"Viva Energy Group Limited (ASX:VEA)",https://www.listcorp.com/asx/vea/viva-energy-group-limited,"	4437260000",2.905,0.04,1.57,Energy
ASX:PME,"Pro Medicus Limited (ASX:PME)",https://www.listcorp.com/asx/pme/pro-medicus,"	4293200000",41.56,0.42,1.02,"Health Care"
ASX:IOZ,"iShares CORE S&P/ASX 200 ETF (ASX:IOZ)",https://www.listcorp.com/asx/ioz/ishares-core-s-and-p-asx-200-etf,"	4280690000",29.76,0.22,0.74,Financials
ASX:BPT,"Beach Energy Limited (ASX:BPT)",https://www.listcorp.com/asx/bpt/beach-energy-limited,"	4049370000",1.8,0.03,1.41,Energy
ASX:MTS,"Metcash Limited (ASX:MTS)",https://www.listcorp.com/asx/mts/metcash-limited,"	4035960000",4.195,0.02,0.36,"Consumer Staples"
ASX:FLT,"Flight Centre Travel Group (ASX:FLT)",https://www.listcorp.com/asx/flt/flight-centre-travel-group,"	4025280000",20.58,0.43,2.13,"Consumer Discretionary"
ASX:FBU,"Fletcher Building Limited (ASX:FBU)",https://www.listcorp.com/asx/fbu/fletcher-building-limited,"	3845080000",4.99,0.08,1.63,Industrials
ASX:DOW,"Downer EDI Limited (ASX:DOW)",https://www.listcorp.com/asx/dow/downer-edi,"	3797000000",5.585,-0.03,-0.62,Industrials
ASX:CIA,"Champion Iron Limited (ASX:CIA)",https://www.listcorp.com/asx/cia/champion-iron-limited,"	3745440000",7.78,0.53,7.31,Materials
ASX:NEC,"Nine Entertainment Co. (ASX:NEC)",https://www.listcorp.com/asx/nec/nine-entertainment,"	3683650000",2.145,-0.01,-0.69,"Communication Services"
ASX:ALU,"Altium Limited (ASX:ALU)",https://www.listcorp.com/asx/alu/altium-limited,"	3654840000",29.01,1.21,4.35,"Information Technology"
ASX:AMP,"AMP Limited (ASX:AMP)",https://www.listcorp.com/asx/amp/amp-limited,"	3609050000",1.11,0.00,0.45,Financials
ASX:PMV,"Premier Investments Limited (ASX:PMV)",https://www.listcorp.com/asx/pmv/premier-investments-limited,"	3578930000",22.53,0.02,0.09,"Consumer Discretionary"
ASX:CLW,"Charter Hall Long WALE REIT (ASX:CLW)",https://www.listcorp.com/asx/clw/charter-hall-long-wale-reit,"	3549710000",4.895,-0.02,-0.31,"Real Estate"
ASX:A2M,"The A2 Milk Company (ASX:A2M)",https://www.listcorp.com/asx/a2m/the-a2-milk-company,"	3510060000",4.73,0.01,0.21,"Consumer Staples"
ASX:SGM,"Sims Limited (ASX:SGM)",https://www.listcorp.com/asx/sgm/sims-limited,"	3460980000",18.1,0.34,1.91,Materials
ASX:CRN,"Coronado Global Resources Inc. (ASX:CRN)",https://www.listcorp.com/asx/crn/coronado-global-resources-inc.,"	3453490000",2.13,0.07,3.4,Materials
ASX:TNE,"Technology One Limited (ASX:TNE)",https://www.listcorp.com/asx/tne/technology-one-limited,"	3447650000",10.95,0.28,2.62,"Information Technology"
ASX:ANN,"Ansell Limited (ASX:ANN)",https://www.listcorp.com/asx/ann/ansell-limited,"	3434940000",25.95,-0.95,-3.53,"Health Care"
ASX:NHF,"NIB Holdings (ASX:NHF)",https://www.listcorp.com/asx/nhf/nib,"	3383600000",7.33,-0.04,-0.54,Financials
ASX:UWL,"Uniti Group Limited (ASX:UWL)",https://www.listcorp.com/asx/uwl/uniti-group-limited,"	3376210000",4.94,0.01,0.2,"Communication Services"
ASX:NIC,"Nickel Mines Limited (ASX:NIC)",https://www.listcorp.com/asx/nic/nickel-mines-limited,"	3318500000",1.27,0.06,4.53,Materials
ASX:SCP,"SCA Property Group (ASX:SCP)",https://www.listcorp.com/asx/scp/sca-property,"	3304210000",2.965,0.01,0.17,"Real Estate"
ASX:ORA,"Orora Group Limited (ASX:ORA)",https://www.listcorp.com/asx/ora/orora-group-limited,"	3251820000",3.85,0.02,0.52,Materials
ASX:BLD,"Boral Limited (ASX:BLD)",https://www.listcorp.com/asx/bld/boral-limited,"	3209990000",2.96,0.05,1.72,Materials
ASX:NHC,"New Hope Corporation Limited (ASX:NHC)",https://www.listcorp.com/asx/nhc/new-hope-corporation-limited,"	3171280000",3.92,0.11,2.89,Energy
ASX:CTD,"Corporate Travel Management Limited (ASX:CTD)",https://www.listcorp.com/asx/ctd/corporate-travel-management,"	3170960000",22.17,0.33,1.51,"Consumer Discretionary"
ASX:NWL,"Netwealth Group Limited (ASX:NWL)",https://www.listcorp.com/asx/nwl/netwealth-group-limited,"	3123240000",13.08,0.27,2.11,Financials
ASX:RWC,"Reliance Worldwide Corporation (ASX:RWC)",https://www.listcorp.com/asx/rwc/reliance-worldwide-corporation,"	3120870000",4.01,0.06,1.52,Industrials
ASX:GOZ,"Growthpoint Properties Australia (ASX:GOZ)",https://www.listcorp.com/asx/goz/growthpoint-properties,"	3016790000",3.865,-0.04,-1.15,"Real Estate"
ASX:BKW,"Brickworks Limited (ASX:BKW)",https://www.listcorp.com/asx/bkw/brickworks-limited,"	3015780000",19.79,-0.08,-0.4,Materials
ASX:ZIM,"Zimplats Holdings (ASX:ZIM)",https://www.listcorp.com/asx/zim/zimplats,"	2943890000",28.5,1.15,4.2,Materials
ASX:CNU,"Chorus Limited (ASX:CNU)",https://www.listcorp.com/asx/cnu/chorus-limited,"	2934450000",6.59,0.02,0.3,"Communication Services"
ASX:NSR,"National Storage REIT (ASX:NSR)",https://www.listcorp.com/asx/nsr/national-storage-reit,"	2893110000",2.38,-0.04,-1.65,"Real Estate"
ASX:BRG,"Breville Group Limited (ASX:BRG)",https://www.listcorp.com/asx/brg/breville-group-limited,"	2859660000",20.57,0.05,0.24,"Consumer Discretionary"
ASX:VTS,"Vanguard US Total Market Shares Index ETF (ASX:VTS)",https://www.listcorp.com/asx/vts/vanguard-us-total-market-shares-index-etf,"	2842650000",288.72,1.78,0.62,Financials
ASX:SGR,"The Star Entertainment Group Limited (ASX:SGR)",https://www.listcorp.com/asx/sgr/star-entertainment-group,"	2808440000",2.945,-0.01,-0.17,"Consumer Discretionary"
ASX:APE,"Eagers Automotive Limited (ASX:APE)",https://www.listcorp.com/asx/ape/eagers-automotive-limited,"	2774880000",10.81,0.01,0.09,"Consumer Discretionary"
ASX:MFG,"Magellan Financial Group Limited (ASX:MFG)",https://www.listcorp.com/asx/mfg/magellan-financial-group-limited,"	2770880000",15.08,0.16,1.07,Financials
ASX:AVZ,"AVZ Minerals Limited (ASX:AVZ)",https://www.listcorp.com/asx/avz/avz-minerals-limited,"	2752410000",0.78,0.00,0,Materials
ASX:APM,"APM Human Services International Limited (ASX:APM)",https://www.listcorp.com/asx/apm/apm-human-services-international,"	2742370000",2.97,-0.02,-0.67,Industrials
ASX:HDN,"HomeCo Daily Needs REIT (ASX:HDN)",https://www.listcorp.com/asx/hdn/homeco-daily-needs-reit,"	2729390000",1.3225,0.00,0.19,"Real Estate"
ASX:PXA,"PEXA Group Limited (ASX:PXA)",https://www.listcorp.com/asx/pxa/pexa-group-limited,"	2666980000",15.16,0.12,0.8,"Real Estate"
ASX:BWP,"BWP Trust (ASX:BWP)",https://www.listcorp.com/asx/bwp/bwp-trust,"	2646620000",4.125,0.00,0.12,"Real Estate"
ASX:ABP,"Abacus Property Group (ASX:ABP)",https://www.listcorp.com/asx/abp/abacus-property,"	2623740000",2.95,0.01,0.34,"Real Estate"
ASX:LTR,"Liontown Resources Limited (ASX:LTR)",https://www.listcorp.com/asx/ltr/liontown-resources,"	2608750000",1.265,0.07,6.3,Materials
ASX:PRU,"Perseus Mining Limited (ASX:PRU)",https://www.listcorp.com/asx/pru/perseus-mining,"	2589560000",1.9375,0.03,1.71,Materials
ASX:GNE,"Genesis Energy Limited (ASX:GNE)",https://www.listcorp.com/asx/gne/genesis-energy-limited,"	2509400000",2.4,0.01,0.42,Utilities
ASX:IOO,"iShares Global 100 ETF (ASX:IOO)",https://www.listcorp.com/asx/ioo/ishares-global-100-etf,"	2507380000",97.75,0.11,0.11,Financials
ASX:ARB,"ARB Corporation (ASX:ARB)",https://www.listcorp.com/asx/arb/arb-corporation,"	2505610000",31.02,0.41,1.34,"Consumer Discretionary"
ASX:CQR,"Charter Hall Retail REIT (ASX:CQR)",https://www.listcorp.com/asx/cqr/charter-hall-retail,"	2470230000",4.24,-0.01,-0.24,"Real Estate"
ASX:HLS,"Healius Limited (ASX:HLS)",https://www.listcorp.com/asx/hls/healius-limited,"	2408080000",3.855,-0.30,-7.33,"Health Care"
ASX:SMR,"Stanmore Resources Limited (ASX:SMR)",https://www.listcorp.com/asx/smr/stanmore-resources-limited,"	2343590000",2.64,0.04,1.54,Energy
ASX:EVT,"Event Hospitality & Entertainment (ASX:EVT)",https://www.listcorp.com/asx/evt/event-hospitality-and-entertainment,"	2340560000",14.8,0.28,1.93,"Communication Services"
ASX:DRR,"Deterra Royalties Limited (ASX:DRR)",https://www.listcorp.com/asx/drr/deterra-royalties-limited,"	2325510000",4.5,0.10,2.27,Materials
ASX:BFL,"BSP Financial Group Limited (ASX:BFL)",https://www.listcorp.com/asx/bfl/bsp-financial-group-limited,"	2322100000",4.97,0.00,0,Financials
ASX:VHY,"Vanguard Australian Shares High Yield ETF (ASX:VHY)",https://www.listcorp.com/asx/vhy/vanguard-australian-shares-high-yield-etf,"	2313770000",68.9,0.32,0.47,Financials
ASX:A200,"BetaShares Australia 200 ETF (ASX:A200)",https://www.listcorp.com/asx/a200/betashares-australia-200-etf,"	2286910000",123.77,0.92,0.75,Financials
ASX:WEB,"Webjet Limited (ASX:WEB)",https://www.listcorp.com/asx/web/webjet-limited,"	2256420000",6.045,0.12,1.94,"Consumer Discretionary"
ASX:WAM,"WAM Capital (ASX:WAM)",https://www.listcorp.com/asx/wam/wam-capital,"	2251100000",2.08,0.00,0,Financials
ASX:SFR,"Sandfire Resources Limited (ASX:SFR)",https://www.listcorp.com/asx/sfr/sandfire-resources-limited,"	2246700000",5.67,0.19,3.47,Materials
ASX:MGF,"Magellan Global Fund (ASX:MGF)",https://www.listcorp.com/asx/mgf/magellan-global-fund,"	2241530000",1.47,0.01,1.03,Financials
ASX:LNK,"Link Administration Holdings Limited (ASX:LNK)",https://www.listcorp.com/asx/lnk/link-administration-holdings,"	2221240000",4.38,0.05,1.15,"Information Technology"
ASX:VNT,"Ventia Services Group Limited (ASX:VNT)",https://www.listcorp.com/asx/vnt/ventia-services-group-limited,"	2215700000",2.635,0.05,1.74,Industrials
ASX:VEU,"Vanguard All-World Ex-US Shares Index ETF (ASX:VEU)",https://www.listcorp.com/asx/veu/vanguard-all-world-ex-us-shares-index-etf,"	2194680000",76.14,0.28,0.37,Financials
ASX:PDN,"Paladin Energy Limited (ASX:PDN)",https://www.listcorp.com/asx/pdn/paladin-energy,"	2188670000",0.7575,0.02,3.06,Energy
ASX:CSR,"CSR Limited (ASX:CSR)",https://www.listcorp.com/asx/csr/csr-limited,"	2184220000",4.56,0.06,1.33,Materials
ASX:CHN,"Chalice Mining Limited (ASX:CHN)",https://www.listcorp.com/asx/chn/chalice-mining-limited,"	2182110000",5.94,0.07,1.19,Materials
